seed,precision,recall,f1
0,0.5111111111111111,0.5609756097560976,0.5348837209302325
1,0.47619047619047616,0.4878048780487805,0.4819277108433735
2,0.4666666666666667,0.5121951219512195,0.4883720930232558
3,0.43902439024390244,0.43902439024390244,0.43902439024390244
4,0.4339622641509434,0.5609756097560976,0.48936170212765956
5,0.4444444444444444,0.2926829268292683,0.35294117647058826
6,0.3333333333333333,0.3902439024390244,0.3595505617977528
7,0.5,0.43902439024390244,0.4675324675324675
8,0.34615384615384615,0.43902439024390244,0.3870967741935484
9,0.5121951219512195,0.5121951219512195,0.5121951219512195
10,0.6216216216216216,0.5609756097560976,0.5897435897435898
11,0.45714285714285713,0.3902439024390244,0.42105263157894735
12,0.47058823529411764,0.5853658536585366,0.5217391304347826
13,0.4791666666666667,0.5609756097560976,0.5168539325842697
14,0.525,0.5121951219512195,0.5185185185185185
15,0.3953488372093023,0.4146341463414634,0.40476190476190477
16,0.5116279069767442,0.5365853658536586,0.5238095238095238
17,0.41025641025641024,0.3902439024390244,0.4
18,0.43902439024390244,0.43902439024390244,0.43902439024390244
19,0.4782608695652174,0.5365853658536586,0.5057471264367817
20,0.45454545454545453,0.4878048780487805,0.47058823529411764
21,0.5526315789473685,0.5121951219512195,0.5316455696202531
22,0.41509433962264153,0.5365853658536586,0.46808510638297873
23,0.3902439024390244,0.3902439024390244,0.3902439024390244
24,0.43478260869565216,0.4878048780487805,0.45977011494252873
25,0.5135135135135135,0.4634146341463415,0.48717948717948717
26,0.46153846153846156,0.43902439024390244,0.45
27,0.38181818181818183,0.5121951219512195,0.4375
28,0.44680851063829785,0.5121951219512195,0.4772727272727273
29,0.38,0.4634146341463415,0.4175824175824176
