seed,precision,recall,f1
0,0.5862068965517241,0.5862068965517241,0.5862068965517241
1,0.5405405405405406,0.6896551724137931,0.6060606060606061
2,0.46875,0.5172413793103449,0.4918032786885246
3,0.5161290322580645,0.5517241379310345,0.5333333333333333
4,0.6,0.5172413793103449,0.5555555555555556
5,0.5,0.5172413793103449,0.5084745762711864
6,0.6666666666666666,0.4827586206896552,0.56
7,0.5454545454545454,0.41379310344827586,0.47058823529411764
8,0.48148148148148145,0.4482758620689655,0.4642857142857143
9,0.7241379310344828,0.7241379310344828,0.7241379310344828
10,0.5333333333333333,0.5517241379310345,0.5423728813559322
11,0.5161290322580645,0.5517241379310345,0.5333333333333333
12,0.75,0.6206896551724138,0.6792452830188679
13,0.6896551724137931,0.6896551724137931,0.6896551724137931
14,0.64,0.5517241379310345,0.5925925925925926
15,0.5,0.5172413793103449,0.5084745762711864
16,0.5555555555555556,0.5172413793103449,0.5357142857142857
17,0.6956521739130435,0.5517241379310345,0.6153846153846154
18,0.5151515151515151,0.5862068965517241,0.5483870967741935
19,0.6296296296296297,0.5862068965517241,0.6071428571428571
20,0.625,0.5172413793103449,0.5660377358490566
21,0.6923076923076923,0.6206896551724138,0.6545454545454545
22,0.4838709677419355,0.5172413793103449,0.5
23,0.52,0.4482758620689655,0.48148148148148145
24,0.52,0.4482758620689655,0.48148148148148145
25,0.8,0.41379310344827586,0.5454545454545454
26,0.5806451612903226,0.6206896551724138,0.6
27,0.5294117647058824,0.6206896551724138,0.5714285714285714
28,0.5652173913043478,0.4482758620689655,0.5
29,0.6071428571428571,0.5862068965517241,0.5964912280701754
