seed,precision,recall,f1,n_pred_pos
0,0.7,0.25,0.3684210526315789,30
1,0.7222222222222222,0.30952380952380953,0.43333333333333335,36
2,0.5964912280701754,0.40476190476190477,0.48226950354609927,57
3,0.5769230769230769,0.35714285714285715,0.4411764705882353,52
4,0.6486486486486487,0.2857142857142857,0.39669421487603307,37
5,0.7560975609756098,0.36904761904761907,0.496,41
6,0.525,0.25,0.3387096774193548,40
7,0.6666666666666666,0.3333333333333333,0.4444444444444444,42
8,0.6666666666666666,0.2619047619047619,0.37606837606837606,33
9,0.8108108108108109,0.35714285714285715,0.49586776859504134,37
10,0.7631578947368421,0.34523809523809523,0.47540983606557374,38
11,0.6428571428571429,0.21428571428571427,0.32142857142857145,28
12,0.6956521739130435,0.38095238095238093,0.49230769230769234,46
13,0.7441860465116279,0.38095238095238093,0.5039370078740157,43
14,0.6744186046511628,0.34523809523809523,0.4566929133858268,43
15,0.6590909090909091,0.34523809523809523,0.453125,44
16,0.6363636363636364,0.25,0.358974358974359,33
17,0.625,0.35714285714285715,0.45454545454545453,48
18,0.6363636363636364,0.3333333333333333,0.4375,44
19,0.6511627906976745,0.3333333333333333,0.4409448818897638,43
20,0.7435897435897436,0.34523809523809523,0.4715447154471545,39
21,0.696969696969697,0.27380952380952384,0.39316239316239315,33
22,0.7575757575757576,0.2976190476190476,0.42735042735042733,33
23,0.6666666666666666,0.38095238095238093,0.48484848484848486,48
24,0.7567567567567568,0.3333333333333333,0.4628099173553719,37
25,0.6190476190476191,0.30952380952380953,0.4126984126984127,42
26,0.5641025641025641,0.2619047619047619,0.35772357723577236,39
27,0.5428571428571428,0.2261904761904762,0.31932773109243695,35
28,0.6153846153846154,0.2857142857142857,0.3902439024390244,39
29,0.7567567567567568,0.3333333333333333,0.4628099173553719,37
