seed,precision,recall,f1
0,0.55,0.5238095238095238,0.5365853658536586
1,0.6506024096385542,0.6428571428571429,0.6467065868263473
2,0.5849056603773585,0.7380952380952381,0.6526315789473685
3,0.5247524752475248,0.6309523809523809,0.572972972972973
4,0.6436781609195402,0.6666666666666666,0.6549707602339181
5,0.6067415730337079,0.6428571428571429,0.6242774566473989
6,0.5730337078651685,0.6071428571428571,0.5895953757225434
7,0.7073170731707317,0.6904761904761905,0.6987951807228916
8,0.6829268292682927,0.6666666666666666,0.6746987951807228
9,0.6190476190476191,0.6190476190476191,0.6190476190476191
10,0.5869565217391305,0.6428571428571429,0.6136363636363636
11,0.6197183098591549,0.5238095238095238,0.567741935483871
12,0.6375,0.6071428571428571,0.6219512195121951
13,0.7241379310344828,0.75,0.7368421052631579
14,0.6404494382022472,0.6785714285714286,0.6589595375722543
15,0.573170731707317,0.5595238095238095,0.5662650602409639
16,0.59375,0.6785714285714286,0.6333333333333333
17,0.5882352941176471,0.5952380952380952,0.591715976331361
18,0.5869565217391305,0.6428571428571429,0.6136363636363636
19,0.5185185185185185,0.6666666666666666,0.5833333333333334
20,0.6222222222222222,0.6666666666666666,0.6436781609195402
21,0.6521739130434783,0.7142857142857143,0.6818181818181818
22,0.7037037037037037,0.6785714285714286,0.6909090909090909
23,0.5578947368421052,0.6309523809523809,0.5921787709497207
24,0.6666666666666666,0.6904761904761905,0.6783625730994152
25,0.5730337078651685,0.6071428571428571,0.5895953757225434
26,0.5408163265306123,0.6309523809523809,0.5824175824175825
27,0.7105263157894737,0.6428571428571429,0.675
28,0.6373626373626373,0.6904761904761905,0.6628571428571428
29,0.5392156862745098,0.6547619047619048,0.5913978494623656
